iter	Passed	Remaining
0	2	212
1	3	164
2	4	140
3	5	123
4	6	114
5	6	108
6	7	103
7	8	99
8	9	96
9	10	92
10	11	91
11	12	90
12	13	88
13	14	88
14	15	86
15	16	85
16	17	85
17	18	84
18	19	82
19	20	81
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	55
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	46
53	52	44
54	53	43
55	54	42
56	55	41
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	64	33
66	65	32
67	66	31
68	67	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
